issue,quotation_bucket,championship_id,score,matches,forecasts,score_forecasts,player_weighted_share,match_weighted_share,ci95_low,ci95_high
home,0-40,6,6-0,24,2229,37,0.016599371915657246,0.01604829883631599,0.004895003721438475,0.02720159395119351
home,0-40,1,5-1,21,1783,21,0.011777902411665733,0.011206609030947647,0.006336143205946578,0.016077074855948715
home,0-40,6,3-2,24,2229,25,0.011215791834903545,0.011113892557201554,0.005848897663380648,0.01637888745102246
home,0-40,1,3-2,21,1783,18,0.010095344924284913,0.010957929239985092,0.0044713823851721965,0.01744447609479799
home,0-40,6,4-2,24,2229,22,0.00986989681471512,0.009918348858511823,0.005504988090049124,0.014331709626974522
home,0-40,1,6-0,21,1783,8,0.00448681996634885,0.0043214850674386214,0.0004606435811962905,0.008182326553680952
home,0-40,1,4-2,21,1783,7,0.003925967470555244,0.004127761434161074,0.000684044975344373,0.007571477892977775
home,0-40,9,5-0,3,275,1,0.0036363636363636364,0.003584229390681004,0.0,0.01060931899641577
home,0-40,9,5-1,3,275,1,0.0036363636363636364,0.003584229390681004,0.0,0.01060931899641577
home,0-40,6,5-2,24,2229,8,0.003589053387169134,0.0035074323956205944,0.0008569330502082662,0.006157931741032923
home,0-40,1,6-1,21,1783,6,0.0033651149747616375,0.003358731337664847,0.00018068224192339033,0.006536780433406303
home,0-40,1,5-2,21,1783,4,0.002243409983174425,0.002030018356548969,0.0,0.004402796800782956
home,0-40,6,6-1,24,2229,4,0.001794526693584567,0.001705974566916816,0.00014643326664944933,0.003265515867184183
home,0-40,6,7-1,24,2229,3,0.0013458950201884253,0.0012587611853968903,0.0,0.0026200758009302374
home,0-40,6,8-0,24,2229,2,0.0008972633467922835,0.0008635810423825887,0.0,0.0020341525674433575
home,0-40,1,7-0,21,1783,1,0.0005608524957936063,0.0005232862375719519,0.0,0.0015489272632129777
home,0-40,1,6-2,21,1783,1,0.0005608524957936063,0.00048590864917395527,0.0,0.0014382896015549076
home,0-40,6,4-3,24,2229,1,0.00044863167339614175,0.0004734848484848485,0.0,0.0014015151515151519
home,0-40,6,7-0,24,2229,1,0.00044863167339614175,0.0004480286738351255,0.0,0.0013261648745519713
home,0-40,6,6-2,24,2229,1,0.00044863167339614175,0.000429553264604811,0.0,0.0012714776632302403
home,40-60,8,1-0,1,1,1,1.0,1.0,1.0,1.0
home,40-60,9,2-0,11,830,262,0.3156626506024096,0.317390681764776,0.26554802305965025,0.3692333404699017
home,40-60,6,2-0,35,2955,900,0.30456852791878175,0.30068662149760633,0.2699380731051695,0.3314351698900432
home,40-60,1,1-0,42,3515,1003,0.28534850640113796,0.2941117624511752,0.26605747464722984,0.3221660502551206
home,40-60,1,2-0,42,3515,978,0.2782361308677098,0.2730566217275924,0.2514554154088487,0.29465782804633606
home,40-60,9,2-1,11,830,219,0.26385542168674697,0.2703775003677247,0.2172885227045075,0.32346647803094186
home,40-60,6,2-1,35,2955,559,0.18917089678510998,0.20208330044683528,0.16372490918098453,0.24044169171268603
